2013-05-24 05:22:05 status half-installed libpam-modules-bin:amd64 1.1.3-7.1
2013-05-24 05:22:06 status unpacked libpam-modules-bin:amd64 1.1.3-7.1
2013-05-24 05:22:06 status unpacked libpam-modules-bin:amd64 1.1.3-7.1
2013-05-24 05:22:06 install libdb5.1:amd64 <none> 5.1.29-5
2013-05-24 05:22:06 status half-installed libdb5.1:amd64 5.1.29-5
2013-05-24 05:22:07 status unpacked libdb5.1:amd64 5.1.29-5
2013-05-24 05:22:07 status unpacked libdb5.1:amd64 5.1.29-5
2013-05-24 05:22:07 install libpam-modules:amd64 <none> 1.1.3-7.1
2013-05-24 05:22:07 status half-installed libpam-modules:amd64 1.1.3-7.1
2013-05-24 05:22:08 status unpacked libpam-modules:amd64 1.1.3-7.1
2013-05-24 05:22:08 status unpacked libpam-modules:amd64 1.1.3-7.1
2013-05-24 05:22:08 install sensible-utils:all <none> 0.0.7
2013-05-24 05:22:08 status half-installed sensible-utils:all 0.0.7
2013-05-24 05:22:08 status unpacked sensible-utils:all 0.0.7
2013-05-24 05:22:08 status unpacked sensible-utils:all 0.0.7
2013-05-24 05:22:09 install debianutils:amd64 <none> 4.3.2
2013-05-24 05:22:09 status half-installed debianutils:amd64 4.3.2
2013-05-24 05:22:09 status unpacked debianutils:amd64 4.3.2
2013-05-24 05:22:09 status unpacked debianutils:amd64 4.3.2
2013-05-24 05:22:09 install libsemanage-common:all <none> 2.1.6-6
2013-05-24 05:22:09 status half-installed libsemanage-common:all 2.1.6-6
2013-05-24 05:22:09 status unpacked libsemanage-common:all 2.1.6-6
2013-05-24 05:22:09 status unpacked libsemanage-common:all 2.1.6-6
2013-05-24 05:22:10 install libustr-1.0-1:amd64 <none> 1.0.4-3
2013-05-24 05:22:10 status half-installed libustr-1.0-1:amd64 1.0.4-3
2013-05-24 05:22:10 status unpacked libustr-1.0-1:amd64 1.0.4-3
2013-05-24 05:22:10 status unpacked libustr-1.0-1:amd64 1.0.4-3
2013-05-24 05:22:11 install libsemanage1:amd64 <none> 2.1.6-6
2013-05-24 05:22:11 status half-installed libsemanage1:amd64 2.1.6-6
2013-05-24 05:22:11 status unpacked libsemanage1:amd64 2.1.6-6
2013-05-24 05:22:11 status unpacked libsemanage1:amd64 2.1.6-6
2013-05-24 05:22:11 install passwd:amd64 <none> 1:4.1.5.1-1
2013-05-24 05:22:11 status half-installed passwd:amd64 1:4.1.5.1-1
2013-05-24 05:22:12 status unpacked passwd:amd64 1:4.1.5.1-1
2013-05-24 05:22:12 status unpacked passwd:amd64 1:4.1.5.1-1
2013-05-24 05:22:12 install libtinfo5:amd64 <none> 5.9-10
2013-05-24 05:22:12 status half-installed libtinfo5:amd64 5.9-10
2013-05-24 05:22:13 status unpacked libtinfo5:amd64 5.9-10
2013-05-24 05:22:13 status unpacked libtinfo5:amd64 5.9-10
2013-05-24 05:22:13 install libuuid1:amd64 <none> 2.20.1-5.3
2013-05-24 05:22:13 status half-installed libuuid1:amd64 2.20.1-5.3
2013-05-24 05:22:13 status unpacked libuuid1:amd64 2.20.1-5.3
2013-05-24 05:22:13 status unpacked libuuid1:amd64 2.20.1-5.3
2013-05-24 05:22:14 install mawk:amd64 <none> 1.3.3-17
2013-05-24 05:22:14 status half-installed mawk:amd64 1.3.3-17
2013-05-24 05:22:14 status unpacked mawk:amd64 1.3.3-17
2013-05-24 05:22:14 status unpacked mawk:amd64 1.3.3-17
2013-05-24 05:22:14 install base-files:amd64 <none> 7.1
2013-05-24 05:22:14 status half-installed base-files:amd64 7.1
2013-05-24 05:22:14 status unpacked base-files:amd64 7.1
2013-05-24 05:22:14 status unpacked base-files:amd64 7.1
2013-05-24 05:22:15 install base-passwd:amd64 <none> 3.5.26
2013-05-24 05:22:15 status half-installed base-passwd:amd64 3.5.26
2013-05-24 05:22:17 status unpacked base-passwd:amd64 3.5.26
2013-05-24 05:22:18 status unpacked base-passwd:amd64 3.5.26
2013-05-24 05:22:18 install dash:amd64 <none> 0.5.7-3
2013-05-24 05:22:18 status half-installed dash:amd64 0.5.7-3
2013-05-24 05:22:19 status unpacked dash:amd64 0.5.7-3
2013-05-24 05:22:19 status unpacked dash:amd64 0.5.7-3
2013-05-24 05:22:19 install bash:amd64 <none> 4.2+dfsg-0.1
2013-05-24 05:22:19 status half-installed bash:amd64 4.2+dfsg-0.1
2013-05-24 05:22:20 status unpacked bash:amd64 4.2+dfsg-0.1
2013-05-24 05:22:20 status unpacked bash:amd64 4.2+dfsg-0.1
2013-05-24 05:22:20 install libncurses5:amd64 <none> 5.9-10
2013-05-24 05:22:20 status half-installed libncurses5:amd64 5.9-10
2013-05-24 05:22:21 status unpacked libncurses5:amd64 5.9-10
2013-05-24 05:22:21 status unpacked libncurses5:amd64 5.9-10
2013-05-24 05:22:21 install bsdutils:amd64 <none> 1:2.20.1-5.3
2013-05-24 05:22:21 status half-installed bsdutils:amd64 1:2.20.1-5.3
2013-05-24 05:22:21 status unpacked bsdutils:amd64 1:2.20.1-5.3
2013-05-24 05:22:21 status unpacked bsdutils:amd64 1:2.20.1-5.3
2013-05-24 05:22:22 install libattr1:amd64 <none> 1:2.4.46-8
2013-05-24 05:22:22 status half-installed libattr1:amd64 1:2.4.46-8
2013-05-24 05:22:22 status unpacked libattr1:amd64 1:2.4.46-8
2013-05-24 05:22:22 status unpacked libattr1:amd64 1:2.4.46-8
2013-05-24 05:22:23 install libacl1:amd64 <none> 2.2.51-8
2013-05-24 05:22:23 status half-installed libacl1:amd64 2.2.51-8
2013-05-24 05:22:23 status unpacked libacl1:amd64 2.2.51-8
2013-05-24 05:22:23 status unpacked libacl1:amd64 2.2.51-8
2013-05-24 05:22:24 install coreutils:amd64 <none> 8.13-3.5
2013-05-24 05:22:24 status half-installed coreutils:amd64 8.13-3.5
2013-05-24 05:22:25 status unpacked coreutils:amd64 8.13-3.5
2013-05-24 05:22:25 status unpacked coreutils:amd64 8.13-3.5
2013-05-24 05:22:25 install lsb-base:all <none> 4.1+Debian8
2013-05-24 05:22:25 status half-installed lsb-base:all 4.1+Debian8
2013-05-24 05:22:25 status unpacked lsb-base:all 4.1+Debian8
2013-05-24 05:22:26 status unpacked lsb-base:all 4.1+Debian8
2013-05-24 05:22:26 install libpam-runtime:all <none> 1.1.3-7.1
2013-05-24 05:22:26 status half-installed libpam-runtime:all 1.1.3-7.1
2013-05-24 05:22:26 status unpacked libpam-runtime:all 1.1.3-7.1
2013-05-24 05:22:26 status unpacked libpam-runtime:all 1.1.3-7.1
2013-05-24 05:22:27 install liblocale-gettext-perl:amd64 <none> 1.05-7+b1
2013-05-24 05:22:27 status half-installed liblocale-gettext-perl:amd64 1.05-7+b1
2013-05-24 05:22:27 status unpacked liblocale-gettext-perl:amd64 1.05-7+b1
2013-05-24 05:22:27 status unpacked liblocale-gettext-perl:amd64 1.05-7+b1
2013-05-24 05:22:27 install libtext-iconv-perl:amd64 <none> 1.7-5
2013-05-24 05:22:27 status half-installed libtext-iconv-perl:amd64 1.7-5
2013-05-24 05:22:27 status unpacked libtext-iconv-perl:amd64 1.7-5
2013-05-24 05:22:28 status unpacked libtext-iconv-perl:amd64 1.7-5
2013-05-24 05:22:28 install libtext-charwidth-perl:amd64 <none> 0.04-7+b1
